         27591 function calls (26769 primitive calls) in 0.792 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {method 'agg' of 'builtins.PyLazyGroupBy' objects}
        1    0.000    0.000    0.011    0.011 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\events\InitGblPassif.py:9(initGblPassif)
       29    0.000    0.000    0.024    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1746(callHandlers)
        2    0.000    0.000    0.001    0.001 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\expr\ActifsExpr.py:57(rsMpActifIndicesTxActionSommeNEq1)
       29    0.000    0.000    0.008    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1266(emit)
        5    0.000    0.000    0.000    0.000 {method 'lt_eq' of 'builtins.PyExpr' objects}
       58    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:455(_format)
      336    0.000    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\abc.py:121(__subclasscheck__)
      2/1    0.000    0.000    0.004    0.004 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:452(_parse_sub)
        2    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
      7/6    0.000    0.000    0.001    0.000 {built-in method new_from_any_values}
      262    0.000    0.000    0.006    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:72(_is_iterable)
       29    0.000    0.000    0.025    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1686(handle)
       14    0.000    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:387(_parse_path)
       61    0.000    0.000    0.000    0.000 {method 'alias' of 'builtins.PyExpr' objects}
      219    0.000    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:667(columns)
       18    0.000    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:228(__mul__)
      5/1    0.000    0.000    0.000    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:37(_compile)
        1    0.000    0.000    0.010    0.010 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\ops\MpPassifEpProjHypsIcFgxBuild.py:10(mpPassifEpProjHypsIcFgxBuild)
       17    0.000    0.000    0.001    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\selectors.py:160(_expand_selectors)
      142    0.000    0.000    0.000    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\datatypes\convert.py:146(is_polars_dtype)
