         431300 function calls (425198 primitive calls) in 2.660 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      240    0.002    0.000    0.008    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:420(_from_parsed_parts)
     1520    0.002    0.000    0.003    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\os.py:777(check_str)
      200    0.002    0.000    0.003    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\datatypes\convert.py:388(py_type_to_dtype)
    39/23    0.002    0.000    0.017    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\queue.py:154(get)
     1929    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      287    0.002    0.000    0.014    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:268(basename)
     1103    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1451    0.002    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pstats.py:552(func_std_string)
      200    0.002    0.000    0.012    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:267(__rsub__)
      240    0.002    0.000    0.005    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:380(with_segments)
      200    0.002    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:5477(group_by)
      200    0.002    0.000    0.010    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\group_by.py:26(agg)
      287    0.002    0.000    0.004    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\genericpath.py:133(_splitext)
      861    0.002    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:831(filter)
      200    0.002    0.000    0.002    0.000 {method 'cast' of 'builtins.PyExpr' objects}
       80    0.002    0.000    0.006    0.000 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\expr\ActifsExpr.py:41(calcPmvl)
     2756    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
      200    0.001    0.000    0.001    0.000 {method 'group_by' of 'builtins.PyLazyFrame' objects}
        1    0.001    0.001    0.012    0.012 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pstats.py:235(sort_stats)
      288    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
      160    0.001    0.000    0.003    0.000 {method 'extend' of 'list' objects}
      574    0.001    0.000    0.003    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:447(usesTime)
     1822    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     1520    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
       80    0.001    0.000    0.007    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:202(__gt__)
      574    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      280    0.001    0.000    0.002    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:3494(sum)
     2404    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        6    0.001    0.000    0.001    0.000 {built-in method nt._path_exists}
      480    0.001    0.000    0.002    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:1164(__new__)
      200    0.001    0.000    0.001    0.000 {method 'agg' of 'builtins.PyLazyGroupBy' objects}
      288    0.001    0.000    0.003    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py:18(encode)
      861    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      400    0.001    0.000    0.001    0.000 {when}
        1    0.001    0.001    0.002    0.002 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pstats.py:159(get_top_level_stats)
       41    0.001    0.000    0.006    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
     2080    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\typing.py:2173(cast)
      400    0.001    0.000    0.001    0.000 {method 'then' of 'builtins.PyWhen' objects}
     1200    0.001    0.000    0.001    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\inspect.py:292(ismodule)
       40    0.001    0.000    0.005    0.000 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\expr\ActifsExpr.py:19(calcFuiteEco)
      200    0.001    0.000    0.005    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\functions\aggregation\vertical.py:12(all)
       80    0.001    0.000    0.015    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:3796(over)
