cd_choc_s2,scenario,period,evenement,cd_societe,cd_canton,cd_classe_actif,mt_vm_av,mt_vm,mt_vc_av,mt_vc,mt_pfi,mt_cf,mt_pdd,mt_fuite_eco,mt_fuite_vc
CENTRAL,1,29,2.StratInv,ACCENTURE,C00001,IMMOBILIER,7538060.989784318,7538060.989784317,2445624.999999997,2445624.9999999967,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,29,2.StratInv,ACCENTURE,C00001,ACTION,11307091.484676475,11307091.484676475,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,30,1.Perf,ACCENTURE,C00001,ACTION,11307091.484676475,11648613.574469121,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,30,1.Perf,ACCENTURE,C00001,IMMOBILIER,7538060.989784317,7765742.382979414,2445624.9999999967,2445624.9999999967,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,30,2.StratInv,ACCENTURE,C00001,IMMOBILIER,7765742.382979414,7765742.382979414,2445624.9999999967,2445624.9999999967,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,30,2.StratInv,ACCENTURE,C00001,ACTION,11648613.574469121,11648613.574469121,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,31,1.Perf,ACCENTURE,C00001,ACTION,11648613.574469121,12010029.579681013,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,31,1.Perf,ACCENTURE,C00001,IMMOBILIER,7765742.382979414,8006686.386454009,2445624.9999999967,2445624.9999999967,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,31,2.StratInv,ACCENTURE,C00001,IMMOBILIER,8006686.386454009,8006686.3864540085,2445624.9999999967,2445624.9999999963,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,31,2.StratInv,ACCENTURE,C00001,ACTION,12010029.579681013,12010029.579681013,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,32,1.Perf,ACCENTURE,C00001,ACTION,12010029.579681013,12381690.12577002,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,32,1.Perf,ACCENTURE,C00001,IMMOBILIER,8006686.3864540085,8254460.08384668,2445624.9999999963,2445624.9999999963,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,32,2.StratInv,ACCENTURE,C00001,IMMOBILIER,8254460.08384668,8254460.08384668,2445624.9999999963,2445624.9999999963,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,32,2.StratInv,ACCENTURE,C00001,ACTION,12381690.12577002,12381690.12577002,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,33,1.Perf,ACCENTURE,C00001,ACTION,12381690.12577002,12775783.17043364,5192249.999999996,5192249.999999996,0.0,0.0,0.0,3.725290298461914e-9,0.0
CENTRAL,1,33,1.Perf,ACCENTURE,C00001,IMMOBILIER,8254460.08384668,8517188.780289093,2445624.9999999963,2445624.9999999963,0.0,0.0,0.0,1.862645149230957e-9,0.0
CENTRAL,1,33,2.StratInv,ACCENTURE,C00001,IMMOBILIER,8517188.780289093,8517188.780289093,2445624.9999999963,2445624.9999999963,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,33,2.StratInv,ACCENTURE,C00001,ACTION,12775783.17043364,12775783.170433639,5192249.999999996,5192249.999999995,0.0,1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,34,1.Perf,ACCENTURE,C00001,IMMOBILIER,8517188.780289093,8787591.388973324,2445624.9999999963,2445624.9999999963,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,34,1.Perf,ACCENTURE,C00001,ACTION,12775783.170433639,13181387.083459985,5192249.999999995,5192249.999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,34,2.StratInv,ACCENTURE,C00001,IMMOBILIER,8787591.388973324,8787591.388973324,2445624.9999999963,2445624.9999999963,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,34,2.StratInv,ACCENTURE,C00001,ACTION,13181387.083459985,13181387.083459983,5192249.999999995,5192249.999999994,0.0,1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,35,1.Perf,ACCENTURE,C00001,IMMOBILIER,8787591.388973324,9071780.313554756,2445624.9999999963,2445624.9999999963,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,35,1.Perf,ACCENTURE,C00001,ACTION,13181387.083459983,13607670.47033213,5192249.999999994,5192249.999999994,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,35,2.StratInv,ACCENTURE,C00001,ACTION,13607670.47033213,13607670.470332135,5192249.999999994,5192249.999999993,0.0,-3.725290298461914e-9,0.0,0.0,0.0
CENTRAL,1,35,2.StratInv,ACCENTURE,C00001,IMMOBILIER,9071780.313554756,9071780.313554754,2445624.9999999963,2445624.999999996,0.0,1.862645149230957e-9,0.0,0.0,0.0
