cd_table,generation,age,sexe,qx
TGHTGF05,1915,102,F,0.282097324
TGHTGF05,1915,103,F,0.301150575
TGHTGF05,1915,104,F,0.320687187
TGHTGF05,1915,105,F,0.340358272
TGHTGF05,1915,106,F,0.361821086
TGHTGF05,1915,107,F,0.381727159
TGHTGF05,1915,108,F,0.4048583
TGHTGF05,1915,109,F,0.425170068
TGHTGF05,1915,110,F,0.449704142
TGHTGF05,1915,111,F,0.47311828
TGHTGF05,1915,112,F,0.489795918
TGHTGF05,1915,113,F,0.52
TGHTGF05,1915,114,F,0.583333333
TGHTGF05,1915,115,F,0.6
TGHTGF05,1915,116,F,0.5
TGHTGF05,1915,117,F,1
TGHTGF05,1915,118,F,0
TGHTGF05,1915,119,F,0
TGHTGF05,1915,120,F,0
TGHTGF05,1916,80,F,0.02722
TGHTGF05,1916,81,F,0.031230083
TGHTGF05,1916,82,F,0.035929542
TGHTGF05,1916,83,F,0.041208973
TGHTGF05,1916,84,F,0.047101366
TGHTGF05,1916,85,F,0.053344899
TGHTGF05,1916,86,F,0.060474172
TGHTGF05,1916,87,F,0.068308342
TGHTGF05,1916,88,F,0.078564783
TGHTGF05,1916,89,F,0.088071947
TGHTGF05,1916,90,F,0.099709333
TGHTGF05,1916,91,F,0.11082925
TGHTGF05,1916,92,F,0.125378231
TGHTGF05,1916,93,F,0.138038402
TGHTGF05,1916,94,F,0.1512858
TGHTGF05,1916,95,F,0.16521416
TGHTGF05,1916,96,F,0.179783919
TGHTGF05,1916,97,F,0.194967933
TGHTGF05,1916,98,F,0.210810148
TGHTGF05,1916,99,F,0.227209194
TGHTGF05,1916,100,F,0.244272508
TGHTGF05,1916,101,F,0.261800293
TGHTGF05,1916,102,F,0.280079251
TGHTGF05,1916,103,F,0.298974231
TGHTGF05,1916,104,F,0.317987152
TGHTGF05,1916,105,F,0.338042909
TGHTGF05,1916,106,F,0.358893281
TGHTGF05,1916,107,F,0.379778052
TGHTGF05,1916,108,F,0.401590457
TGHTGF05,1916,109,F,0.42192691
TGHTGF05,1916,110,F,0.448275862
TGHTGF05,1916,111,F,0.46875
TGHTGF05,1916,112,F,0.490196078
TGHTGF05,1916,113,F,0.5
TGHTGF05,1916,114,F,0.538461538
TGHTGF05,1916,115,F,0.5
TGHTGF05,1916,116,F,0.666666667
TGHTGF05,1916,117,F,1
TGHTGF05,1916,118,F,0
TGHTGF05,1916,119,F,0
TGHTGF05,1916,120,F,0
TGHTGF05,1917,79,F,0.02371
TGHTGF05,1917,80,F,0.02694896
TGHTGF05,1917,81,F,0.03094802
TGHTGF05,1917,82,F,0.035586261
TGHTGF05,1917,83,F,0.040819085
TGHTGF05,1917,84,F,0.04667794
TGHTGF05,1917,85,F,0.052892847
TGHTGF05,1917,86,F,0.059969567
TGHTGF05,1917,87,F,0.067779961
TGHTGF05,1917,88,F,0.077947135
TGHTGF05,1917,89,F,0.087369421
TGHTGF05,1917,90,F,0.098890633
TGHTGF05,1917,91,F,0.109938934
TGHTGF05,1917,92,F,0.124376031
TGHTGF05,1917,93,F,0.136894447
TGHTGF05,1917,94,F,0.150052374
TGHTGF05,1917,95,F,0.163910855
TGHTGF05,1917,96,F,0.178356467
TGHTGF05,1917,97,F,0.193402103
TGHTGF05,1917,98,F,0.209131348
TGHTGF05,1917,99,F,0.225451137
TGHTGF05,1917,100,F,0.242360061
TGHTGF05,1917,101,F,0.259850905
TGHTGF05,1917,102,F,0.277877698
TGHTGF05,1917,103,F,0.296637609
TGHTGF05,1917,104,F,0.315864023
TGHTGF05,1917,105,F,0.335403727
TGHTGF05,1917,106,F,0.355919003
TGHTGF05,1917,107,F,0.377267231
TGHTGF05,1917,108,F,0.398058252
TGHTGF05,1917,109,F,0.419354839
TGHTGF05,1917,110,F,0.444444444
TGHTGF05,1917,111,F,0.46
TGHTGF05,1917,112,F,0.5
TGHTGF05,1917,113,F,0.518518519
TGHTGF05,1917,114,F,0.538461538
TGHTGF05,1917,115,F,0.5
TGHTGF05,1917,116,F,0.666666667
TGHTGF05,1917,117,F,1
TGHTGF05,1917,118,F,0
TGHTGF05,1917,119,F,0
TGHTGF05,1917,120,F,0
TGHTGF05,1918,78,F,0.02058
TGHTGF05,1918,79,F,0.023473076
TGHTGF05,1918,80,F,0.026693015
TGHTGF05,1918,81,F,0.03064776
TGHTGF05,1918,82,F,0.035251615
TGHTGF05,1918,83,F,0.040445231
TGHTGF05,1918,84,F,0.046268031
TGHTGF05,1918,85,F,0.052428769
TGHTGF05,1918,86,F,0.059475713
TGHTGF05,1918,87,F,0.067208428
TGHTGF05,1918,88,F,0.077274992
TGHTGF05,1918,89,F,0.08661005
TGHTGF05,1918,90,F,0.09802938
TGHTGF05,1918,91,F,0.108981489
TGHTGF05,1918,92,F,0.123314237
TGHTGF05,1918,93,F,0.135726817
TGHTGF05,1918,94,F,0.148804095
TGHTGF05,1918,95,F,0.162513393
TGHTGF05,1918,96,F,0.176880855
TGHTGF05,1918,97,F,0.191827526
TGHTGF05,1918,98,F,0.207457038
TGHTGF05,1918,99,F,0.223639922
TGHTGF05,1918,100,F,0.240371043
TGHTGF05,1918,101,F,0.2577648
TGHTGF05,1918,102,F,0.275751073
TGHTGF05,1918,103,F,0.294320988
TGHTGF05,1918,104,F,0.313505948
TGHTGF05,1918,105,F,0.332823649
TGHTGF05,1918,106,F,0.352941176
TGHTGF05,1918,107,F,0.374262102
TGHTGF05,1918,108,F,0.394339623
TGHTGF05,1918,109,F,0.417445483
TGHTGF05,1918,110,F,0.438502674
TGHTGF05,1918,111,F,0.457142857
TGHTGF05,1918,112,F,0.49122807
TGHTGF05,1918,113,F,0.517241379
TGHTGF05,1918,114,F,0.5
TGHTGF05,1918,115,F,0.571428571
TGHTGF05,1918,116,F,0.666666667
TGHTGF05,1918,117,F,1
TGHTGF05,1918,118,F,0
TGHTGF05,1918,119,F,0
TGHTGF05,1918,120,F,0
TGHTGF05,1919,77,F,0.01821
TGHTGF05,1919,78,F,0.020381141
TGHTGF05,1919,79,F,0.02324856
TGHTGF05,1919,80,F,0.026431202
TGHTGF05,1919,81,F,0.030352398
TGHTGF05,1919,82,F,0.034922138
TGHTGF05,1919,83,F,0.040076648
TGHTGF05,1919,84,F,0.045851794
TGHTGF05,1919,85,F,0.051971578
TGHTGF05,1919,86,F,0.058951759
TGHTGF05,1919,87,F,0.066591358
TGHTGF05,1919,88,F,0.07653538
TGHTGF05,1919,89,F,0.085798179
TGHTGF05,1919,90,F,0.097116623
TGHTGF05,1919,91,F,0.108025002
TGHTGF05,1919,92,F,0.122189176
TGHTGF05,1919,93,F,0.134500372
TGHTGF05,1919,94,F,0.147513271
TGHTGF05,1919,95,F,0.161106279
TGHTGF05,1919,96,F,0.175333831
TGHTGF05,1919,97,F,0.190234336
TGHTGF05,1919,98,F,0.205675961
TGHTGF05,1919,99,F,0.221796576
TGHTGF05,1919,100,F,0.238497087
TGHTGF05,1919,101,F,0.255672823
TGHTGF05,1919,102,F,0.27348458
TGHTGF05,1919,103,F,0.292022444
TGHTGF05,1919,104,F,0.310820124
TGHTGF05,1919,105,F,0.3305
TGHTGF05,1919,106,F,0.350261389
TGHTGF05,1919,107,F,0.371264368
TGHTGF05,1919,108,F,0.391224863
TGHTGF05,1919,109,F,0.414414414
TGHTGF05,1919,110,F,0.435897436
TGHTGF05,1919,111,F,0.454545455
TGHTGF05,1919,112,F,0.483333333
